"","Year","N_ID","Pop","C_Rate","Ad_Ed","Child_Care","Com_House","Emp_Res","Sub_Trt","Trans_House","Recreation","Inflation","NIA"
"138",2014,56,15421.3327103917,"Low",0,0,0,0,0,0,0,1.91,0
"139",2014,108,13108.4454172149,"Medium",0,0,1,0,0,0,0,1.91,0
"140",2014,17,28535.9987201345,"Medium",0,44,3,0,0,0,0,1.91,0
"141",2015,97,12746.9985167181,"Very Low",0,0,0,0,0,0,0,1.13,0
"142",2015,27,28612.9958637602,"High",1,0,4,8,2,0,1,1.13,1
"143",2015,38,16376.0011063665,"Low",3,0,0,3,0,0,0,1.13,0
"144",2015,31,15187.9994038572,"High",1,0,48,4,0,0,0,1.13,0
"145",2015,16,25679.0005064463,"Low",0,46,0,1,0,0,1,1.13,0
"146",2015,118,28181.9996852828,"Low",1,0,15,3,0,0,0,1.13,0
"147",2015,63,22087.0006957405,"Medium",0,0,26,0,0,0,0,1.13,0
"148",2015,3,10622.0000888327,"Medium",0,60,30,1,0,0,1,1.13,1
"149",2015,55,21382.0012378737,"Very Low",0,0,1,1,0,0,0,1.13,1
"150",2015,59,17614.0018996107,"Low",2,0,6,0,0,0,1,1.13,0
"151",2015,106,14801.9999177655,"Low",0,0,2,0,0,1,0,1.13,0
"152",2015,14,44159.9985435419,"High",2,57,5,3,1,0,0,1.13,0
"153",2015,66,9923.00042584815,"High",2,0,10,1,0,0,1,1.13,0
"154",2015,28,10213.0005248897,"Medium",0,0,7,0,0,0,0,1.13,1
"155",2015,139,17177.9995914365,"Medium",0,0,3,1,0,0,0,1.13,1
"156",2015,85,22598.9996321883,"Medium",2,0,10,1,0,0,0,1.13,1
"157",2015,70,28430.000855323,"High",0,0,85,1,0,0,1,1.13,0
"158",2015,40,18320.0001828639,"Medium",0,0,19,1,0,0,0,1.13,0
"159",2015,61,16177.9998550859,"Medium",0,0,4,2,0,0,1,1.13,1
"160",2015,21,12810.000342781,"High",0,36,12,1,0,0,2,1.13,1
"161",2015,22,16086.9995702202,"Medium",0,38,6,0,0,0,0,1.13,1
"162",2015,133,13670.0002536406,"Very Low",0,0,0,0,0,0,0,1.13,0
"163",2015,75,32173.9989420889,"High",3,0,9,4,6,0,2,1.13,0
"164",2015,120,27343.9995890537,"High",0,0,8,1,0,1,0,1.13,0
"165",2015,123,16313.9985461812,"Medium",1,0,15,3,0,0,1,1.13,0
"166",2015,44,22562.998944185,"Low",2,0,51,2,0,0,3,1.13,1
"167",2015,92,14542.9997886746,"Medium",0,0,6,1,0,0,0,1.13,0
"168",2015,125,13956.998726907,"Medium",0,0,12,0,1,0,1,1.13,1
"169",2015,90,14806.9984302721,"Medium",0,0,16,1,1,0,0,1.13,0
"170",2015,57,11880.999904952,"Low",0,0,0,0,0,1,0,1.13,0
"171",2015,10,11356.0009943441,"Medium",0,47,0,0,0,0,0,1.13,0
"172",2015,68,12327.9995875441,"Medium",1,0,6,3,1,0,1,1.13,0
"173",2015,13,12019.0004906601,"Low",0,26,8,1,0,0,1,1.13,0
"174",2015,102,13097.0004213781,"Very Low",0,0,5,0,0,0,0,1.13,0
"175",2015,25,31550.0008716086,"Medium",1,26,83,2,0,1,1,1.13,1
"176",2015,65,14833.0002163941,"High",0,0,59,1,0,0,1,1.13,0
"177",2015,140,10125.9995131095,"Medium",0,0,0,0,0,0,0,1.13,0
"178",2015,81,17259.0008925717,"Medium",1,0,3,1,3,0,4,1.13,0
"179",2015,43,17931.9995675291,"Medium",0,0,37,3,0,0,1,1.13,1
"180",2015,77,64714.0105949592,"High",0,0,26,11,1,1,3,1.13,0
"181",2015,136,28000.0040493705,"High",2,0,26,1,0,0,4,1.13,1
"182",2015,1,34557.0002775714,"High",1,32,6,2,1,0,0,1.13,0
"183",2015,35,26849.0001338819,"Low",0,0,1,1,0,0,2,1.13,0
"184",2015,124,17601.0028575725,"High",1,0,16,1,0,0,3,1.13,1
"185",2015,6,22561.9996322305,"Medium",1,40,5,3,0,0,1,1.13,1
"186",2015,49,13540.0021857355,"Very Low",1,0,4,0,0,0,0,1.13,0
"187",2015,33,16606.9988324222,"Medium",0,0,4,0,0,0,0,1.13,0
"188",2015,110,11307.0001322838,"Medium",0,0,1,3,0,0,1,1.13,1
"189",2015,54,19142.0006530445,"High",0,0,0,0,0,0,0,1.13,0
"190",2015,58,9471.99937376082,"Medium",0,0,0,0,0,0,0,1.13,0
"191",2015,96,11189.9993245624,"Low",1,0,0,0,0,0,0,1.13,0
"192",2015,78,18791.0013921163,"High",2,0,73,2,0,0,6,1.13,0
"193",2015,15,9463.00026315944,"Medium",0,48,0,0,0,0,0,1.13,0
"194",2015,89,10287.9989376301,"Medium",0,0,1,0,0,0,0,1.13,0
"195",2015,101,11073.9996138725,"Very Low",0,0,0,0,0,0,0,1.13,0
"196",2015,53,15439.9996884927,"Low",0,0,0,4,0,0,1,1.13,0
"197",2015,95,31384.0002264756,"High",0,0,16,1,1,1,2,1.13,0
"198",2015,109,10257.9993644023,"Low",0,0,0,0,0,1,1,1.13,0
"199",2015,8,11147.9997834103,"Low",0,53,18,0,0,0,0,1.13,0
"200",2015,86,15506.0003384576,"Medium",0,0,11,2,1,0,2,1.13,0
"201",2015,79,7953.99921245882,"High",0,0,1,0,0,0,2,1.13,0
"202",2015,48,17512.9998661218,"Low",0,0,6,0,0,0,1,1.13,0
"203",2015,115,13919.9995115151,"Medium",0,0,1,0,0,0,1,1.13,1
"204",2015,126,25599.0002476904,"High",0,0,23,3,0,0,0,1.13,0
"205",2015,9,15829.0015074692,"Low",0,37,0,0,0,0,0,1.13,0
"206",2015,93,37618.0024292038,"Medium",1,0,24,3,0,0,4,1.13,0
"207",2015,36,24424.9999733545,"Low",0,0,0,0,0,0,1,1.13,0
"208",2015,82,30767.0009329737,"Medium",1,0,6,4,8,1,1,1.13,0
"209",2015,112,6755.00098313843,"High",2,0,1,1,0,0,0,1.13,1
"210",2015,88,22760.0006564348,"Low",0,0,9,1,0,0,1,1.13,0
"211",2015,87,24256.99833812,"Low",0,0,9,0,0,0,0,1.13,0
"212",2015,134,12979.9996918245,"Medium",0,0,0,0,0,0,0,1.13,0
"213",2015,74,19192.9994318982,"High",0,0,4,1,0,0,2,1.13,0
"214",2015,121,14215.0031135143,"High",0,0,32,1,1,0,2,1.13,1
"215",2015,98,21416.9992276646,"Low",2,0,1,1,0,0,2,1.13,0
"216",2015,107,21839.9997992904,"Low",1,0,3,0,0,0,0,1.13,0
"217",2015,119,28563.0012357308,"High",0,0,7,2,0,0,0,1.13,0
"218",2015,138,23434.999161513,"Medium",0,0,12,0,0,0,2,1.13,1
"219",2015,5,9753.99976439729,"Medium",0,33,14,0,0,0,0,1.13,1
"220",2015,129,30163.998742064,"Very Low",0,0,0,0,0,0,0,1.13,0
"221",2015,128,24136.0001376013,"Medium",0,0,13,1,0,0,1,1.13,0
"222",2015,32,22937.9997253763,"Low",1,0,107,0,0,0,1,1.13,0
"223",2015,11,19119.9992728266,"Low",0,41,7,0,0,0,0,1.13,0
"224",2015,117,45413.9971176784,"Very Low",0,0,50,1,0,0,2,1.13,0
"225",2015,42,28225.9988584936,"Low",1,0,1,3,0,0,4,1.13,0
"226",2015,34,16237.000415703,"Very Low",0,0,16,0,1,0,0,1.13,0
"227",2015,20,12382.999711594,"Medium",0,40,1,0,0,0,0,1.13,0
"228",2015,72,11122.0023840722,"High",1,0,38,0,2,0,3,1.13,1
"229",2015,127,30480.9995289613,"Medium",0,0,8,3,0,0,1,1.13,0
"230",2015,122,22806.0000479816,"Medium",0,0,5,2,0,0,1,1.13,0
"231",2015,91,11659.0004659027,"Medium",2,0,30,1,0,0,2,1.13,1
"232",2015,26,36044.0016715154,"High",0,0,4,5,1,0,2,1.13,1
"233",2015,114,8193.99964579574,"Low",0,0,20,0,0,0,0,1.13,0
"234",2015,76,25639.9980273371,"High",0,0,3,7,2,0,3,1.13,0
"235",2015,24,22439.0021617389,"High",2,36,40,1,0,0,3,1.13,1
"236",2015,51,51178.9950745985,"Very Low",1,0,17,0,0,0,0,1.13,0
"237",2015,37,17077.9997279565,"Low",0,0,2,0,0,0,0,1.13,0
"238",2015,131,47749.0010187067,"Low",0,0,0,1,0,0,1,1.13,0
"239",2015,2,33951.0031470784,"Medium",2,49,103,4,0,1,2,1.13,1
"240",2015,71,12156.9997774289,"High",0,0,50,1,2,0,3,1.13,0
"241",2015,99,17103.9999298928,"Very Low",0,0,2,0,0,0,0,1.13,0
"242",2015,104,30591.0001277624,"Very Low",0,0,11,4,1,0,4,1.13,0
"243",2015,69,7984.99990299822,"Medium",0,0,39,1,1,0,2,1.13,0
"244",2015,4,10834.0003877931,"Low",0,54,15,0,0,0,0,1.13,0
"245",2015,62,21913.9988314635,"High",0,0,48,0,0,0,3,1.13,0
"246",2015,18,11718.0003070211,"High",1,29,2,1,0,0,1,1.13,0
"247",2015,80,14392.9996741316,"High",1,0,1,1,0,0,0,1.13,0
"248",2015,45,35794.9962095469,"Low",0,0,12,0,0,0,0,1.13,0
"249",2015,23,10624.99931072,"Medium",0,28,1,0,0,0,0,1.13,0
"250",2015,67,8019.00042290062,"High",0,0,3,0,0,0,0,1.13,0
"251",2015,7,22583.00134581,"Low",0,33,1,0,0,0,0,1.13,0
"252",2015,137,55101.9974111295,"Medium",3,0,26,4,0,0,3,1.13,1
"253",2015,60,8100.00009475472,"Medium",0,0,4,0,0,0,0,1.13,0
"254",2015,52,21355.0007340003,"Low",0,0,0,0,0,0,1,1.13,0
"255",2015,39,23813.002558332,"Low",0,0,1,0,0,0,0,1.13,0
"256",2015,111,22901.9991192599,"Medium",0,0,12,1,0,0,1,1.13,1
"257",2015,41,9382.00042282207,"Low",2,0,0,1,0,0,0,1.13,0
"258",2015,47,27793.9999080867,"Medium",2,0,3,0,0,0,0,1.13,0
"259",2015,113,18583.0004272653,"High",1,0,2,2,0,0,0,1.13,1
"260",2015,103,15579.9996570039,"Low",0,0,3,0,0,0,0,1.13,0
"261",2015,30,18299.0002446787,"Medium",1,0,3,1,0,0,0,1.13,0
"262",2015,19,10319.0001770127,"High",0,62,0,0,0,0,0,1.13,0
"263",2015,132,45410.000922567,"Low",2,0,228,5,0,0,2,1.13,0
"264",2015,83,12189.9996029543,"Medium",0,0,14,1,0,0,0,1.13,0
"265",2015,29,10410.9989841322,"Low",0,0,0,0,0,0,0,1.13,0
"266",2015,12,10772.0005118949,"Low",0,51,0,1,0,0,0,1.13,0
"267",2015,116,25388.9983850566,"Very Low",0,0,0,0,1,0,0,1.13,0
"268",2015,105,14983.9995277601,"Low",0,0,1,0,0,0,1,1.13,0
"269",2015,100,11962.0003857031,"Low",1,0,0,0,0,0,2,1.13,0
