,Year,N_ID,Pop,C_Rate,Ad_Ed,Child_Care,Com_House,Emp_Res,Sub_Trt,Trans_House,Recreation,Inflation,NIA
157,2015,40,18320.000182863856,148.74453999999997,0,0,19,1,0,0,0,1.13,0
158,2015,61,16177.999855085864,208.61664175,0,0,4,2,0,0,1,1.13,1
159,2015,21,12810.000342781044,291.764238875,0,36,12,1,0,0,2,1.13,1
160,2015,22,16086.999570220212,204.35756124999997,0,38,6,0,0,0,0,1.13,1
161,2015,133,13670.000253640641,70.409654875,0,0,0,0,0,0,0,1.13,0
162,2015,75,32173.99894208894,433.57992349999995,3,0,9,4,6,0,2,1.13,0
163,2015,120,27343.99958905368,253.71196987500002,0,0,8,1,0,1,0,1.13,0
164,2015,123,16313.998546181236,194.61813674999996,1,0,15,3,0,0,1,1.13,0
165,2015,44,22562.99894418498,121.88096124999998,2,0,51,2,0,0,3,1.13,1
166,2015,92,14542.999788674602,152.13505,0,0,6,1,0,0,0,1.13,0
167,2015,125,13956.998726906993,197.92937249999997,0,0,12,0,1,0,1,1.13,1
168,2015,90,14806.998430272062,184.03459775,0,0,16,1,1,0,0,1.13,0
169,2015,57,11880.999904952003,120.99149999999999,0,0,0,0,0,1,0,1.13,0
170,2015,10,11356.000994344065,158.50650249999998,0,47,0,0,0,0,0,1.13,0
171,2015,68,12327.999587544062,192.65088250000002,1,0,6,3,1,0,1,1.13,0
172,2015,13,12019.000490660115,140.40269,0,26,8,1,0,0,1,1.13,0
173,2015,102,13097.00042137813,104.98587124999999,0,0,5,0,0,0,0,1.13,0
174,2015,25,31550.000871608612,196.11726875,1,26,83,2,0,1,1,1.13,1
175,2015,65,14833.000216394126,232.58949299999998,0,0,59,1,0,0,1,1.13,0
176,2015,140,10125.99951310954,154.305755,0,0,0,0,0,0,0,1.13,0
177,2015,81,17259.000892571745,199.89569625,1,0,3,1,3,0,4,1.13,0
178,2015,43,17931.999567529143,173.57238875,0,0,37,3,0,0,1,1.13,1
179,2015,77,64714.01059495918,281.816871375,0,0,26,11,1,1,3,1.13,0
180,2015,136,28000.004049370535,276.33924575000003,2,0,26,1,0,0,4,1.13,1
181,2015,1,34557.000277571424,398.61677487500003,1,32,6,2,1,0,0,1.13,0
182,2015,35,26849.00013388188,113.59827125000001,0,0,1,1,0,0,2,1.13,0
183,2015,124,17601.002857572545,289.04603000000003,1,0,16,1,0,0,3,1.13,1
184,2015,6,22561.99963223047,167.870758875,1,40,5,3,0,0,1,1.13,1
185,2015,49,13540.002185735473,92.31903975,1,0,4,0,0,0,0,1.13,0
186,2015,33,16606.998832422152,153.54971875,0,0,4,0,0,0,0,1.13,0
187,2015,110,11307.000132283825,154.77137875,0,0,1,3,0,0,1,1.13,1
188,2015,54,19142.000653044463,210.92361625,0,0,0,0,0,0,0,1.13,0
189,2015,58,9471.999373760822,151.76310124999998,0,0,0,0,0,0,0,1.13,0
190,2015,96,11189.999324562412,108.35568125,1,0,0,0,0,0,0,1.13,0
191,2015,78,18791.001392116308,764.9938233749999,2,0,73,2,0,0,6,1.13,0
192,2015,15,9463.000263159436,170.4005025,0,48,0,0,0,0,0,1.13,0
193,2015,89,10287.998937630055,160.38104299999998,0,0,1,0,0,0,0,1.13,0
194,2015,101,11073.999613872546,65.468667625,0,0,0,0,0,0,0,1.13,0
195,2015,53,15439.999688492717,118.19948425000001,0,0,0,4,0,0,1,1.13,0
196,2015,95,31384.00022647559,254.508665,0,0,16,1,1,1,2,1.13,0
197,2015,109,10257.99936440229,124.29324224999999,0,0,0,0,0,1,1,1.13,0
198,2015,8,11147.99978341029,141.28095,0,53,18,0,0,0,0,1.13,0
199,2015,86,15506.000338457576,175.73842000000002,0,0,11,2,1,0,2,1.13,0
